Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
b'mu1',0.13244081638782165,0.021942971026938395,4132.0,6.0356829631333895,1.7219109308218599e-09,0.05,0.08942078189513998,0.17546085088050334,-0.09603765350505054
b'mu2',0.09280173496051522,0.031094663406096557,4132.0,2.984490738765164,0.0028571436468800386,0.05,0.031839457307850295,0.15376401261318015,-0.1912820481689363
b'mu3',0.00010748969412358261,0.018354467700564318,4132.0,0.005856323151244413,0.9953276396088767,0.05,-0.035877146689150145,0.036092126077397306,-0.11792367732032295
b'mu4',0.10506114626650756,0.018394026772384598,4132.0,5.711699105724823,1.1971717653146803e-08,0.05,0.06899895280893803,0.1411233397240771,-0.1242119186462596
b'mu5',-0.005867180506706559,0.016554338536115484,4132.0,-0.3544195072431633,0.7230426031790678,0.05,-0.038322594769110714,0.026588233755697598,0.1091728789549706
b'mu6',-0.022739728694207723,0.020587530983177112,4132.0,-1.1045388936045444,0.2694237557517922,0.05,-0.06310237110612757,0.01762291371771212,-0.06408329289213327
b'mu7',-0.054404565899370164,0.02514439159109043,4132.0,-2.1636859139056552,0.03054559692702974,0.05,-0.10370110793181579,-0.005108023866924535,-0.02326907470036213
b'gamma1',0.47257024476885856,0.020787482709919015,4132.0,22.733404104931164,6.753201910442213e-108,0.05,0.4318155893441727,0.5133249001935445,0.1015360575592107
b'gamma2',0.3549566371047784,0.027950169304112493,4132.0,12.69962386426587,2.8079201030951964e-36,0.05,0.3001592604841258,0.4097540137254311,0.21748591072799658
b'gamma3',0.6170337498228605,0.017668927103650804,4132.0,34.921970428830804,2.3120689527977302e-234,0.05,0.5823931420166262,0.6516743576290949,0.3593521394417622
b'gamma4',0.7393274841862199,0.016843106696485144,4132.0,43.894959374715846,0.0,0.05,0.7063059288937683,0.7723490394786714,0.268659069589119
b'gamma5',0.6579574671810146,0.016169221904160074,4132.0,40.691968425007076,9.862299297432125e-305,0.05,0.6262570888146195,0.6896578455474096,-0.19740484139580883
b'gamma6',0.5110629095723643,0.019427488183737456,4132.0,26.306175288278887,3.800300527946319e-141,0.05,0.47297457546553295,0.5491512436791958,-0.08721903133808076
b'gamma7',0.2879967399746445,0.023123539671767404,4132.0,12.454699585906088,5.558000711483389e-35,0.05,0.24266215547142994,0.333331324477859,0.11735316152974248
b'err1',0.9606172069740424,0.015076333168549637,4132.0,63.71689960911464,0.0,0.05,0.9310594788004998,0.990174935147585,0.01591716361413241
b'err2',0.957593963625436,0.021744496275809707,4132.0,44.03845237338237,0.0,0.05,0.9149630464783043,1.0002248807725678,-0.018215303884763112
b'err3',0.860762366206989,0.012715565252723616,4132.0,67.69359828676257,0.0,0.05,0.8358330138829779,0.885691718531,0.6372313523165495
b'err4',0.7012751146136714,0.014899824208773338,4132.0,47.06599922170528,0.0,0.05,0.6720634390110647,0.7304867902162782,0.08758102401033106
b'err5',0.7389824963712598,0.012732717641965843,4132.0,58.03808088350619,0.0,0.05,0.7140195161316886,0.763945476610831,-0.6736257512335649
b'err6',0.9267741502557774,0.014201275220475464,4132.0,65.25992461011883,0.0,0.05,0.8989320066793721,0.9546162938321826,-0.4420108288146362
b'err7',1.0237413256603465,0.017407320966771982,4132.0,58.810963939512476,0.0,0.05,0.9896136066975695,1.0578690446231234,-0.10460874454322738
